Product,Store,RMSE,MAPE,Model Runtime,Model,Epochs
8010903,5136,3.9523860713085135,86.04581537880675,211.4519779682159,SARIMA,1
8011740,1096,11.406467230439128,100.01724448260607,0.7075760364532471,ARIMA,1
8011740,1096,10.585245856784027,81.49138250412022,107.3915581703186,SARIMA,1
8011740,2177,4.513287246582205,88.55835283582506,0.4096231460571289,ARIMA,1
8011740,2177,4.388131226753032,88.36131976344093,96.32970595359802,SARIMA,1
8011740,2189,5.6363645104797575,98.98870410797772,0.5317950248718262,ARIMA,1
8011740,2189,5.577641241321774,96.08973001943971,74.95922708511353,SARIMA,1
8011740,3328,3.6384185993916,88.89633900734935,0.3433091640472412,ARIMA,1
8011740,3328,3.512898719336506,85.66578951042597,30.927332162857056,SARIMA,1
8011740,3349,3.1329398065851013,97.4977810114105,0.4846229553222656,ARIMA,1
8011740,3349,3.30385032683226,101.3150537840524,61.77659201622009,SARIMA,1
8011740,3889,5.173252463743327,107.7349343575564,0.535376787185669,ARIMA,1
8011740,3889,5.114486650515294,108.18315490729582,114.57706904411316,SARIMA,1
8011740,4388,2.317313911794708,60.68030511231913,0.5357859134674072,ARIMA,1
8011740,4388,2.345025329569729,62.70026895773765,46.164133071899414,SARIMA,1
8011740,4816,0.8721021057795659,46.760523377636595,0.4285030364990234,ARIMA,1
8011740,4816,0.8330913066473916,44.03581951362433,30.04852795600891,SARIMA,1
8011740,5136,3.6585294153498142,96.2312903294124,0.3984999656677246,ARIMA,1
8011740,5136,3.601862722510748,112.9126533526276,83.21085500717163,SARIMA,1
8011002,1096,9.118419242135872,81.8692987291677,0.4114322662353515,ARIMA,1
8011002,1096,8.98615843906923,90.967365004921,116.88540601730348,SARIMA,1
8011002,2177,4.7345586959015895,101.1591731332358,0.5200419425964355,ARIMA,1
8011002,2177,4.6450706601425065,100.44391020251734,37.84175896644592,SARIMA,1
8011002,2189,2.3770739326319297,70.14525723377793,0.7033259868621826,ARIMA,1
8011002,2189,2.381116144004592,71.4377647139035,34.42929792404175,SARIMA,1
8011002,3328,1.3117043066731973,54.87526191769479,0.4669258594512939,ARIMA,1
8011002,3328,1.240612056773843,45.17097680029791,68.88181400299072,SARIMA,1
8011002,3349,1.6705385833373645,70.71895106129628,0.5483512878417969,ARIMA,1
8011002,3349,1.6772315387451466,71.34937015019507,58.028695821762085,SARIMA,1
8011002,3889,2.717568462914091,110.98017114242282,0.4154648780822754,ARIMA,1
8011002,3889,2.6965707117980813,107.9789343690809,54.606586933135986,SARIMA,1
8011002,4388,0.961785623833164,48.755644171315424,0.233854055404663,ARIMA,1
8011002,4388,1.1154835251852302,51.92505815622115,13.2700617313385,SARIMA,1
8011002,4816,1.965574072334315,84.85029604497942,0.4047181606292724,ARIMA,1
8011002,4816,1.9036434374029687,78.29894512628033,27.155877828598022,SARIMA,1
8011002,5136,4.023740771729631,60.32022067981821,0.44647216796875,ARIMA,1
8011002,5136,3.7937142431117863,71.0588489610567,38.00742697715759,SARIMA,1
8017442,1096,10.441160734107344,178.16156290530523,0.5611226558685303,ARIMA,1
